Year,Fires,Acres
2021-01-01,58985,7125643
2020-01-01,58950,10122336
2019-01-01,50477,4664364
2018-01-01,58083,8767492
2017-01-01,71499,10026086
2016-01-01,67743,5509995
2015-01-01,68151,10125149
2014-01-01,63312,3595613
2013-01-01,47579,4319546
2012-01-01,67774,9326238
2011-01-01,74126,8711367
2010-01-01,71971,3422724
2009-01-01,78792,5921786
2008-01-01,78979,5292468
2007-01-01,85705,9328045
2006-01-01,96385,9873745
2005-01-01,66753,8689389
2004-01-01,65461,8097880
2003-01-01,63629,3960842
2002-01-01,73457,7184712
2001-01-01,84079,3570911
2000-01-01,92250,7393493
1999-01-01,92487,5626093
1998-01-01,81043,1329704
1997-01-01,66196,2856959
1996-01-01,96363,6065998
1995-01-01,82234,1840546
1994-01-01,79107,4073579
1993-01-01,58810,1797574
1992-01-01,87394,2069929
1991-01-01,75754,2953578
1990-01-01,66481,4621621
1989-01-01,48949,1827310
1988-01-01,72750,5009290
1987-01-01,71300,2447296
1986-01-01,85907,2719162
1985-01-01,82591,2896147
1984-01-01,20493,1148409
1983-01-01,18229,1323666
