Country Code,Quarter,GDP Growth,Country,Date
GBR,2019-Q4,-0.04475008900000001,United Kingdom,2019-10-01
GBR,2020-Q1,-2.699125301,United Kingdom,2020-01-01
GBR,2020-Q2,-19.565486235999998,United Kingdom,2020-04-01
GBR,2020-Q3,17.436249927000002,United Kingdom,2020-07-01
GBR,2020-Q4,1.107067907,United Kingdom,2020-10-01
GBR,2021-Q1,-1.3600182809999999,United Kingdom,2021-01-01
GBR,2021-Q2,5.513148698999999,United Kingdom,2021-04-01
GBR,2021-Q3,1.254400281,United Kingdom,2021-07-01
JPN,2019-Q4,-2.390667495,Japan,2019-10-01
JPN,2020-Q1,0.30625605300000003,Japan,2020-01-01
JPN,2020-Q2,-8.047666771,Japan,2020-04-01
JPN,2020-Q3,5.108688104,Japan,2020-07-01
JPN,2020-Q4,2.309878022,Japan,2020-10-01
JPN,2021-Q1,-0.723071716,Japan,2021-01-01
JPN,2021-Q2,0.48942781700000004,Japan,2021-04-01
JPN,2021-Q3,-0.902682323,Japan,2021-07-01
OECD,2019-Q4,0.034584867000000005,OECD,2019-10-01
OECD,2020-Q1,-1.722129876,OECD,2020-01-01
OECD,2020-Q2,-10.46488283,OECD,2020-04-01
OECD,2020-Q3,9.384773342,OECD,2020-07-01
OECD,2020-Q4,1.049696965,OECD,2020-10-01
OECD,2021-Q1,0.715657863,OECD,2021-01-01
OECD,2021-Q2,1.681389434,OECD,2021-04-01
OECD,2021-Q3,1.1,OECD,2021-07-01
ARG,2019-Q4,-1.61567951,Argentina,2019-10-01
ARG,2020-Q1,-4.318956508,Argentina,2020-01-01
ARG,2020-Q2,-15.470492228,Argentina,2020-04-01
ARG,2020-Q3,12.878151215,Argentina,2020-07-01
ARG,2020-Q4,4.519210266,Argentina,2020-10-01
ARG,2021-Q1,2.7871224939999997,Argentina,2021-01-01
ARG,2021-Q2,-1.392679684,Argentina,2021-04-01
BRA,2019-Q4,0.33173728199999997,Brazil,2019-10-01
BRA,2020-Q1,-2.27094942,Brazil,2020-01-01
BRA,2020-Q2,-8.854261874,Brazil,2020-04-01
BRA,2020-Q3,7.768280673,Brazil,2020-07-01
BRA,2020-Q4,3.11472654,Brazil,2020-10-01
BRA,2021-Q1,1.34346477,Brazil,2021-01-01
BRA,2021-Q2,-0.351164359,Brazil,2021-04-01
BRA,2021-Q3,-0.09384365199999999,Brazil,2021-07-01
USA,2019-Q4,0.469097618,United States,2019-10-01
USA,2020-Q1,-1.303582746,United States,2020-01-01
USA,2020-Q2,-8.937250501,United States,2020-04-01
USA,2020-Q3,7.547534636,United States,2020-07-01
USA,2020-Q4,1.115276766,United States,2020-10-01
USA,2021-Q1,1.533889627,United States,2021-01-01
USA,2021-Q2,1.64074654,United States,2021-04-01
USA,2021-Q3,0.521924732,United States,2021-07-01
IND,2019-Q4,0.42794,India,2019-10-01
IND,2020-Q1,0.19849,India,2020-01-01
IND,2020-Q2,-25.33246,India,2020-04-01
IND,2020-Q3,24.059089999999998,India,2020-07-01
IND,2020-Q4,8.57818,India,2020-10-01
IND,2021-Q1,0.37114,India,2021-01-01
IND,2021-Q2,-11.61151,India,2021-04-01
IND,2021-Q3,12.6866,India,2021-07-01
DEU,2019-Q4,-0.074416587,Germany,2019-10-01
DEU,2020-Q1,-1.763973605,Germany,2020-01-01
DEU,2020-Q2,-9.996215611,Germany,2020-04-01
DEU,2020-Q3,9.043062505,Germany,2020-07-01
DEU,2020-Q4,0.743386255,Germany,2020-10-01
DEU,2021-Q1,-1.868714068,Germany,2021-01-01
DEU,2021-Q2,2.021482101,Germany,2021-04-01
DEU,2021-Q3,1.6942754119999999,Germany,2021-07-01
RUS,2019-Q4,-0.452487734,Russia,2019-10-01
RUS,2020-Q1,-0.196323318,Russia,2020-01-01
RUS,2020-Q2,-4.485002074,Russia,2020-04-01
RUS,2020-Q3,2.7780786,Russia,2020-07-01
RUS,2020-Q4,0.739743224,Russia,2020-10-01
RUS,2021-Q1,0.680789326,Russia,2021-01-01
RUS,2021-Q2,3.1909337410000003,Russia,2021-04-01
RUS,2021-Q3,-0.794505895,Russia,2021-07-01
CHN,2019-Q4,1.6,China,2019-10-01
CHN,2020-Q1,-9.5,China,2020-01-01
CHN,2020-Q2,10.7,China,2020-04-01
CHN,2020-Q3,2.9,China,2020-07-01
CHN,2020-Q4,3.2,China,2020-10-01
CHN,2021-Q1,0.2,China,2021-01-01
CHN,2021-Q2,1.2,China,2021-04-01
CHN,2021-Q3,0.2,China,2021-07-01
